Έτος αναφοράς	Περιφέρειες (NUTS2)	κωδ. NUTS2	Περ. Ενότητες (NUTS3)	κωδ. NUTS3	Διάθεση Αγροτικών Προϊόντων	Κατηγορίες Αγροτικών Προϊόντων	Αγροτικά Προϊόντα	Παραγωγή (σε τόνους)	Εκτάσεις (σε στρέμματα)	Πλήθος Δέντρων
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά & Μεταποίηση & Κτηνοτροφία	Σιτηρά για καρπό	Αραβόσιτος	88920.02	71720	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση & Κτηνοτροφία	Σιτηρά για καρπό	Βρώμη	2151.51	8876	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση & Κτηνοτροφία	Σιτηρά για καρπό	Κριθάρι	9599.695	29658	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Σιτηρά για καρπό	Λοιπά (Σμιγδάνι, Κεχρί, φαλαρίδα, τριτικάλι, κλπ.)	869.825	4040	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Σιτηρά για καρπό	Ρύζι	0	0	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση & Κτηνοτροφία	Σιτηρά για καρπό	Σίκαλη	235.66	1081	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Σιτηρά για καρπό	Σιτάρι Μαλακό	16319.11	49801	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Σιτηρά για καρπό	Σιτάρι Σκληρό	17793.47	56608	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση & Κτηνοτροφία	Σιτηρά για καρπό	Σόργο	0	0	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Καπνός	587.59	2131	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Βαμβάκι	13395.762	40887	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Σουσάμι	1.26	21	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Ηλίανθος	21302.37	68061	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Κτηνοτροφία	Βιομηχανικά φυτά	Σόργο	0	63	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Αραχίδα	0	0	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Σόγια, σπόρος	881.514	2925	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Ζαχαρότευτλα	583.92	90	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Κολοκύθες για σπόρο	28.878	240	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Ελαιοκράμβη	948.51	3911	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Κτηνοτροφία	Βιομηχανικά φυτά	Αρωματικά φυτά	0	289	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση	Βιομηχανικά φυτά	Λοιπά (μαραθόσπορος, κύμινο κλπ)	0	9	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά	Βρώσιμα όσπρια	Φασόλια	1058.64	3930	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά	Βρώσιμα όσπρια	Κουκιά	3.05	10	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά	Βρώσιμα όσπρια	Φακή	164.388	998	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Μεταποίηση & Κτηνοτροφία	Βρώσιμα όσπρια	Λαθούρι	0	0	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά	Βρώσιμα όσπρια	Ρεβύθια	166.05	936	0
2018	Αν. Μακεδονία & Θράκη	EL51	Δράμας	EL514	Νωπά & Μεταποίηση	Βρώσιμα όσπρια	Μπιζέλια	0	0	0
