,,EL301,EL302,EL303,EL304,EL305,EL306,EL307,EL411,EL412,EL413,EL421,EL422,EL431,EL432,EL433,EL434,EL511,EL512,EL513,EL514,EL515,EL521,EL522,EL523,EL524,EL525,EL526,EL527,EL531,EL532,EL533,EL541,EL542,EL543,EL611,EL612,EL613,EL621,EL622,EL623,EL624,EL631,EL632,EL633,EL641,EL642,EL643,EL644,EL645,EL651,EL652,EL653
EL301,Βόρειος Τομέας Αθηνών,428120,454200,142450,77050,155222,206000,66998,,,,,,,,,,,,,,,1000,250500,,,,,70000,,,,13000,,52000,4000,48000,,,,,,5000,76500,,116080,6500,,,,,17000,26000
EL302,Δυτικός Τομέας Αθηνών ,28750,283600,35000,8220,24500,407300,11000,,,,,,,,22000,,,,,,,,41820,22000,,,,,,,,10000,,,18500,44000,20000,40000,,,84000,116000,58000,7200,28800,,,,,26900,1500,1500
EL303,Κεντρικός Τομέας Αθηνών,118850,32050,537400,21350,196100,274900,529200,,,22000,51795,10000,,,10000,,,,18000,16000,,477300,563000,,40000,89000,77700,,25000,30000,52000,94000,,29000,66500,208000,88500,,15000,50000,,106000,357700,31000,134300,46700,,172200,,321100,107000,212700
EL304,Νότιος Τομέας Αθηνών,,20500,7050,508600,21000,18895,7500,,,,,32000,,,,,,,,,,,83000,22000,,,,,,,,,,,11510,,,,,,,20000,53500,,28000,22910,,,,8000,7000,
EL305,Ανατολική Αττική,508960,51400,277110,96110,4177059,670650,113700,,,,,3709,6600,,17000,,,,,,,,561200,45000,,,,,6200,,,,,7000,,,7000,10000,39000,,,50700,167050,,237950,98843,,3700,,36500,20000,11500
EL306,Δυτική Αττική,216088,341191,573712,305869,574131,1562159,1177039,,,,,56400,,,,8599,34500,12000,38000,,24000,,901200,,,32000,,,,11000,,72000,39000,62000,91350,23200,86750,205500,76270,47000,,271300,519190,12000,289690,296917,37000,72200,27000,176891,234500,215354
EL307,"Πειραιάς, Νήσοι",251109,61840,440457,68680,440911,2108196,294316540,34680,,62500,21500,86500,,19000,36000,20000,,,,71000,,,1161300,,,,,,25000,,,49000,,,,,18050,20000,16000,,,,106110,15000,795380,240919,,50000,,7500,156000,88200
EL411,"Λέσβος, Λήμνος",,,,,,,26300,2200830,,,,,,,,,,,,,,,81690,,,,,,,,,,,,,,30712,,,,,,,,,,,,,,,
EL412,"Ικαρία, Σάμος",,,,,,,,,167000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL413,Χίος,,,5000,,20000,,5000,,,631990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,
EL421,"Κάλυμνος, Κάρπαθος, Κως, Ρόδος",,,,,,,,,,,2350332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",,,,70000,,,2000,,,,,7975959,,,,,,,,,,,,,,,,,,,,,,,,6379,,,,,,,,,,,,,,,,
EL431,Ηράκλειο,,,,,,,24572,,,,,,4115817,221800,166700,91400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,
EL432,Λασίθι,,,,,,,73000,,,,18500,,442100,1037520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL433,Ρέθυμνο,40000,,15000,,69000,,49000,,,,,,159600,,1559900,57710,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,20000,,,,,14000,,
EL434,Χανιά,,,,,,7466,,,,,,,277884,4000,221957,3640377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL511,Έβρος,,,23000,,22000,,,,,,,,,,,,5559365,28400,606820,39840,52000,,365200,18000,,,,,,,,,20000,,,,,,,,,,23500,,16000,,,,,,,1800
EL512,Ξάνθη,,,74600,,,,40000,,,,,,,,,,11000,436860,115000,123500,31800,2000,265221,,,,32680,19000,,,,,,,,17340,,,,,,,16000,,,,,1500,,,,
EL513,Ροδόπη,,,,,,20942,,,,,,,,,,,80800,117810,594990,48420,69800,13450,142500,,,,,,,,,,,,,,8600,,,,,,52000,,44286,,,,,,,
