Αγροτικά Προϊόντα	Κατηγορία Αγροτικών Προϊόντων	Κωδικοποίηση NUTS 2	Περιφέρεια (NUTS 2)	Κωδικοποίηση NUTS 3	Περιφερειακή Ενότητα (NUTS 3)	Έκταση (στρέμματα)	"Ποσότητα Παραγωγής (σε τόνους)"	Αριθμός Δέντρων	Έτος Αναφοράς	Κατηγοριοποίηση Αγροτικών Προϊόντων ανάλογα με την χρήση
Αραβόσιτος	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	71720.00	88920.02		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Βρώμη	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	8876.00	2151.51		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Κριθάρι	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	29658.00	9599.70		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Λοιπά (Σμιγδάνι/Κεχρί/φαλαρίδα/τριτικάλι κλπ.)	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	4040.00	869.83		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Ρύζι	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	0.00	0.00		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Σίκαλη	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	1081.00	235.66		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Σιτάρι Μαλακό	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	49801.00	16319.11		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Σιτάρι Σκληρό	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	56608.00	17793.47		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Σόργο	Σιτηρά για καρπό	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	0.00	0.00		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Καπνός	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	2131.00	587.59		2018	προς μεταποίηση
Βαμβάκι	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	40887.00	13395.76		2018	προς μεταποίηση
Σουσάμι	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	21.00	1.26		2018	προς μεταποίηση
Ηλίανθος	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	68061.00	21302.37		2018	προς μεταποίηση
Σόργο	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	63.00	0.00		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Αραχίδα	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	0.00	0.00		2018	προς μεταποίηση
Σόγια - σπόρος	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	2925.00	881.51		2018	προς μεταποίηση
Ζαχαρότευτλα	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	90.00	583.92		2018	προς μεταποίηση
Κολοκύθες για σπόρο	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	240.00	28.88		2018	προς μεταποίηση
Ελαιοκράμβη	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	3911.00	948.51		2018	προς μεταποίηση
Αρωματικά φυτά	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	289.00			2018	προς μεταποίηση
Λοιπά (μαραθόσπορος/ κύμινο κλπ)	Βιομηχανικά φυτά	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	9.00			2018	προς μεταποίηση
Φασόλια	Βρώσιμα όσπρια	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	3930.00	1058.64		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
Κουκιά	Βρώσιμα όσπρια	EL51	Περιφέρεια Ανατολικής Μακεδονίας και Θράκης	EL514	Δράμας	10.00	3.05		2018	έτοιμα για χρήση (μέρος των οποίων για μεταποίηση
