Unit of Measurement,Commodity Type,Coverage,Coverage level,Partner Entity,Time Granularity,Data Since,Imports / Exports,Mode of Transport,Provider
[Euros],SITC,Europe,Country Level,Countries Worldwide,Monthly,1988,Null,Null,Eurostat
[tonnes],SITC,Europe,Country Level,Countries Worldwide,Monthly,1989,Null,Null,Eurostat
[Euros],SITC,Europe,Country Level,Countries Worldwide,Quarterly,1988,Null,Null,Eurostat
[tonnes],SITC,Europe,Country Level,Countries Worldwide,Quarterly,1989,Null,Null,Eurostat
[Euros],SITC,Europe,Country Level,Countries Worldwide,Annually,1988,Null,Null,Eurostat
[tonnes],SITC,Europe,Country Level,Countries Worldwide,Annually,1989,Null,Null,Eurostat
[Euros],HS,Europe,Country Level,Countries Worldwide,Monthly,1988,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[tonnes],HS,Europe,Country Level,Countries Worldwide,Monthly,1989,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[Euros],HS,Europe,Country Level,Countries Worldwide,Quarterly,1988,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[tonnes],HS,Europe,Country Level,Countries Worldwide,Quarterly,1989,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[Euros],HS,Europe,Country Level,Countries Worldwide,Annually,1988,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[tonnes],HS,Europe,Country Level,Countries Worldwide,Annually,1989,Null,"Unknown
 Sea
 Rail
 Road
 Air
 Post
 Fixed Mechanism
 Inland Waterway
 Self Propulsion

(only for EXTRA-EU Trade)",Eurostat
[Euros],CN,Europe,Country Level,Countries Worldwide,Monthly,1988,Null,Null,Eurostat
[tonnes],CN,Europe,Country Level,Countries Worldwide,Monthly,1989,Null,Null,Eurostat
[Euros],CN,Europe,Country Level,Countries Worldwide,Quarterly,1988,Null,Null,Eurostat
[tonnes],CN,Europe,Country Level,Countries Worldwide,Quarterly,1989,Null,Null,Eurostat
