Έτος αναφοράς	Εβδομάδα	Χώρα	Περιφέρειες (NUTS2)	κωδ. NUTS2	Περ. Ενότητες (NUTS3)	κωδ. NUTS3	Κατηγορίες Αγροτικών Προϊόντων	Αγροτικά Προϊόντα	Ποσότητα (σε τόνους)
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Ακτινίδια	0.1192
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Ακτινίδια	0.1192
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Ακτινίδια	0.1192
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Ακτινίδια	0.1192
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Ακτινίδια	0.1192
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Πυρηνόκαρπα	Βερυκοκιές	0.015
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Πυρηνόκαρπα	Βερυκοκιές	0.015
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Πυρηνόκαρπα	Βερυκοκιές	0.015
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Πυρηνόκαρπα	Βερυκοκιές	0.015
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Πυρηνόκαρπα	Βερυκοκιές	0.015
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	0.04
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	0.04
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	0.04
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	0.04
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	 Δενδρώδεις καλλιέργειες - Οπωροφόρα	Αχλαδιές	0.04
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Καρπούζια	1.504
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Καρπούζια	1.504
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Καρπούζια	1.504
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Καρπούζια	1.504
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Καρπούζια	1.504
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Αγκινάρες	0.122
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Αγκινάρες	0.122
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Αγκινάρες	0.122
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Αγκινάρες	0.122
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Αγκινάρες	0.122
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Γλυκοπατάτες	12.31
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Γλυκοπατάτες	12.31
2018	w03	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Γλυκοπατάτες	12.31
2018	w04	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Γλυκοπατάτες	12.31
2018	w05	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Πεπονοειδή και πατάτες	Γλυκοπατάτες	12.31
2018	w01	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Καρότα	5.8768
2018	w02	Ολλανδία	Ολλανδία	528	Ολλανδία	528	Λαχανικά	Καρότα	5.8768
